"","ISO3","peak.cropland","peak.pasture","peak.both","bottom.cropland","bottom.pasture","bottom.both","fill"
"1","DZA",6,6,6,11,11,11,FALSE
"2","AZE",5,6,6,1,1,1,FALSE
"3","ALB",7,7,7,1,1,1,FALSE
"4","ARM",7,7,7,2,2,2,FALSE
"5","AGO",12,4,4,8,9,9,FALSE
"6","ARG",2,12,2,7,7,7,FALSE
"7","AUS",3,3,8,1,1,1,FALSE
"8","BHR",3,3,3,8,8,8,FALSE
"9","BHS",12,12,12,7,7,7,TRUE
"10","BGD",10,10,10,1,1,1,FALSE
"11","BLZ",2,2,2,5,5,5,FALSE
"12","BOL",3,6,6,9,9,9,FALSE
"13","MMR",11,11,11,4,4,4,FALSE
"14","BEN",9,9,9,2,2,2,FALSE
"15","SLB",7,7,7,1,1,1,TRUE
"16","BRA",3,3,3,9,9,9,FALSE
"17","BGR",6,6,6,1,1,1,FALSE
"18","BRN",6,6,6,1,1,1,FALSE
"19","CAN",7,7,7,2,2,2,FALSE
"20","KHM",11,11,11,3,3,3,FALSE
"21","LKA",2,2,2,8,8,8,FALSE
"22","COG",4,4,4,8,8,8,FALSE
"23","COD",4,4,4,8,8,8,FALSE
"24","BDI",5,5,5,9,9,9,FALSE
"25","AFG",6,6,6,2,2,2,FALSE
"26","BTN",11,11,11,7,3,3,FALSE
"27","CHL",1,1,1,7,7,7,FALSE
"28","CMR",8,5,8,2,1,2,FALSE
"29","TCD",9,9,9,3,3,3,FALSE
"30","COM",6,6,6,11,11,11,TRUE
"31","COL",7,7,7,3,3,3,FALSE
"32","CRI",1,2,2,6,6,6,FALSE
"33","CAF",8,8,8,1,1,1,FALSE
"34","CUB",9,9,9,3,3,3,FALSE
"35","CPV",11,11,11,6,6,6,TRUE
"36","CYP",2,3,2,9,9,9,FALSE
"37","DNK",6,6,6,1,1,1,FALSE
"38","DJI",3,3,3,7,7,7,FALSE
"39","DOM",11,11,11,4,4,4,FALSE
"40","ECU",7,7,7,11,11,11,FALSE
"41","EGY",6,6,6,11,11,11,FALSE
"42","IRL",5,5,5,1,1,1,FALSE
"43","GNQ",4,4,4,8,8,8,FALSE
"44","EST",7,7,7,1,1,1,FALSE
"45","SLV",9,9,9,3,3,3,FALSE
"46","AUT",6,8,6,1,1,1,FALSE
"47","GUF",9,9,9,3,3,3,FALSE
"48","FJI",8,8,8,11,11,11,TRUE
"49","FRA",5,6,5,1,1,1,FALSE
"50","GMB",9,9,9,5,4,4,FALSE
"51","GAB",4,4,4,8,8,8,FALSE
"52","GEO",7,7,7,1,2,2,FALSE
"53","GHA",9,9,9,2,2,2,FALSE
"54","DEU",6,6,6,1,1,1,FALSE
"55","GRC",6,6,6,1,1,1,FALSE
"56","GTM",9,2,9,4,5,4,FALSE
"57","GIN",9,9,9,2,2,2,FALSE
"58","GUY",9,9,9,4,4,4,FALSE
"59","HTI",10,10,10,3,3,3,FALSE
"60","HND",11,2,11,5,5,5,FALSE
"61","HUN",6,6,6,1,1,1,FALSE
"62","ISL",8,8,8,2,2,2,FALSE
"63","IND",10,10,10,5,5,5,FALSE
"64","IRN",6,6,6,1,1,1,FALSE
"65","ISR",3,3,3,9,9,9,FALSE
"66","ITA",7,7,7,1,1,1,FALSE
"67","CIV",9,9,9,2,2,2,FALSE
"68","IRQ",2,3,3,9,8,8,FALSE
"69","JPN",7,7,7,2,2,2,FALSE
"70","JAM",12,12,12,4,4,4,FALSE
"71","JOR",3,3,3,9,10,10,FALSE
"72","KEN",12,12,12,8,8,8,FALSE
"73","KGZ",7,7,7,2,2,2,FALSE
"74","PRK",8,7,8,1,1,1,FALSE
"75","KOR",8,8,8,1,1,1,FALSE
"76","KWT",2,2,2,9,9,9,FALSE
"77","KAZ",6,6,6,2,1,2,FALSE
"78","LAO",11,11,11,4,3,3,FALSE
"79","LBN",4,4,4,9,9,12,FALSE
"80","LVA",7,7,7,1,1,1,FALSE
"81","BLR",7,7,7,1,1,1,FALSE
"82","LTU",7,7,7,1,1,1,FALSE
"83","LBR",11,11,11,8,8,8,FALSE
"84","LBY",6,6,6,11,11,11,FALSE
"85","MDG",3,3,3,10,9,9,FALSE
"86","MNG",8,8,8,1,1,1,FALSE
"87","MLI",9,9,9,3,3,3,FALSE
"88","MAR",3,3,3,8,8,8,FALSE
"89","MUS",5,5,5,11,11,11,TRUE
"90","MRT",2,2,2,9,9,9,FALSE
"91","MLT",4,4,4,10,10,10,TRUE
"92","OMN",2,2,2,8,8,8,FALSE
"93","MEX",9,9,9,5,2,2,FALSE
"94","MYS",6,6,6,12,12,12,FALSE
"95","MOZ",3,4,4,9,9,9,FALSE
"96","MWI",3,3,3,9,9,9,FALSE
"97","NCL",8,8,8,12,12,12,TRUE
"98","NER",2,2,2,9,9,9,FALSE
"99","PSE",3,3,3,9,9,9,FALSE
"100","VUT",8,8,8,11,11,11,TRUE
"101","NGA",9,9,9,2,3,2,FALSE
"102","NLD",7,8,8,1,1,1,FALSE
"103","NOR",8,8,8,2,2,2,FALSE
"104","NPL",9,11,9,3,3,3,FALSE
"105","SUR",9,9,9,3,3,3,FALSE
"106","NIC",12,12,12,4,6,4,FALSE
"107","NZL",2,10,10,7,7,7,FALSE
"108","PRY",3,3,3,8,8,8,FALSE
"109","PER",6,6,6,2,2,2,FALSE
"110","PAK",2,2,2,6,6,6,FALSE
"111","POL",6,6,6,1,1,1,FALSE
"112","PAN",12,1,1,4,4,4,FALSE
"113","PRT",3,3,3,8,8,8,FALSE
"114","PNG",4,7,7,8,8,8,FALSE
"115","GNB",9,9,9,4,3,3,FALSE
"116","QAT",2,2,2,9,9,9,FALSE
"117","REU",6,6,6,12,12,12,TRUE
"118","ROU",6,7,6,1,1,1,FALSE
"119","MDA",6,6,6,1,1,1,FALSE
"120","PHL",7,7,7,3,3,3,FALSE
"121","PRI",12,1,12,6,6,6,FALSE
"122","RUS",7,7,7,2,2,2,FALSE
"123","RWA",5,5,5,9,9,9,FALSE
"124","SAU",2,2,2,8,8,8,FALSE
"125","SYC",4,4,4,8,8,8,TRUE
"126","ZAF",2,3,3,8,8,8,FALSE
"127","LSO",2,2,2,8,8,8,FALSE
"128","BWA",2,3,3,9,9,9,FALSE
"129","SEN",9,9,9,5,5,5,FALSE
"130","SLE",10,10,10,2,2,2,FALSE
"131","SGP",7,7,7,1,1,1,FALSE
"132","SOM",12,12,12,8,8,8,FALSE
"133","ESP",4,3,4,8,1,8,FALSE
"134","SDN",9,9,9,3,3,3,FALSE
"135","SWE",7,7,7,1,1,1,FALSE
"136","SYR",3,3,3,8,8,8,FALSE
"137","CHE",7,8,8,1,1,1,FALSE
"138","TTO",3,3,3,5,5,5,FALSE
"139","THA",10,10,10,3,3,3,FALSE
"140","TJK",7,7,6,2,1,1,FALSE
"141","TGO",9,9,9,1,1,1,FALSE
"142","STP",4,4,4,8,8,8,TRUE
"143","TUN",3,3,3,8,8,8,FALSE
"144","TUR",6,6,6,1,2,1,FALSE
"145","TKM",4,4,4,12,12,12,FALSE
"146","TZA",3,3,3,9,9,9,FALSE
"147","UGA",6,7,6,2,2,2,FALSE
"148","GBR",5,6,5,1,1,1,FALSE
"149","UKR",6,6,6,1,1,1,FALSE
"150","USA",7,7,7,1,1,1,FALSE
"151","BFA",9,9,9,4,4,4,FALSE
